,tb_latitude,tb_longitude,collision_severity,type_of_collision,mviw,ped_action,DRIVE_DANGER_SCORE,WALK_DANGER_SCORE,AVERAGE_SCORE
5114,37.7788366327,-122.44534674,Fatal,Broadside,Other Motor Vehicle,No Pedestrian Involved,10,0,5.0
5115,37.7642379911,-122.477162136,Injury (Other Visible),Rear End,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5116,37.7966910586,-122.423601296,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
5117,37.7165708199,-122.462624771,Injury (Other Visible),Vehicle/Pedestrian,Parked Motor Vehicle,No Pedestrian Involved,3,0,1.5
5118,37.7487664796,-122.406757777,Injury (Other Visible),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5119,37.7799379546,-122.455852515,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,8,4.5
5120,37.7360384167,-122.407411399,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5121,37.7730104659,-122.403256484,Injury (Complaint of Pain),Head-On,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5122,37.7626707078,-122.435187963,Injury (Complaint of Pain),Other,Bicycle,No Pedestrian Involved,1,0,0.5
5123,37.805564691,-122.41189865,Injury (Complaint of Pain),Other,Pedestrian,"In Road, Including Shoulder",0,3,1.5
5124,37.7324319085,-122.391521351,Injury (Complaint of Pain),Other,Fixed Object,No Pedestrian Involved,1,0,0.5
5125,37.7792579709,-122.426828556,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5126,37.7212094035,-122.43638454,Injury (Severe),Head-On,Pedestrian,Crossing in Crosswalk at Intersection,1,8,4.5
5127,37.7875680248,-122.406589884,Injury (Other Visible),Not Stated,Other Object,No Pedestrian Involved,3,0,1.5
5128,37.7554931325,-122.490534343,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
5129,37.7476958532,-122.427045476,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5130,37.7569020081,-122.42111754,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5131,37.7806067572,-122.390527234,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
5132,37.7718561469,-122.423463652,Injury (Other Visible),Hit Object,Fixed Object,No Pedestrian Involved,3,0,1.5
5133,37.7835035091,-122.394150515,Injury (Severe),Broadside,Other Motor Vehicle,No Pedestrian Involved,8,0,4.0
5134,37.7587849453,-122.463798756,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5135,37.7786714018,-122.416583088,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,8,4.5
5136,37.765125422,-122.418442302,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",1,6,3.5
5137,37.7882621684,-122.416168352,Injury (Severe),Not Stated,Pedestrian,"In Road, Including Shoulder",1,8,4.5
5138,37.7847534462,-122.421192974,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5139,37.7471490511,-122.418879262,Injury (Complaint of Pain),Sideswipe,Motor Vehicle on Other Roadway,No Pedestrian Involved,2,0,1.0
5140,37.7553296225,-122.389001461,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5141,37.7803459453,-122.466385302,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5142,37.7293538856,-122.389418721,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5143,37.7459279264,-122.495239601,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5144,37.7894120612,-122.422135207,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5145,37.7491955397,-122.419267868,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
5146,37.7944400454,-122.393588501,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5147,37.7853726478,-122.431366397,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,8,4.5
5148,37.7650513371,-122.419668973,Injury (Other Visible),Other,Fixed Object,No Pedestrian Involved,3,0,1.5
5149,37.7752388538,-122.506954828,Injury (Complaint of Pain),Head-On,Fixed Object,No Pedestrian Involved,1,0,0.5
5150,37.7714794853,-122.435372983,Injury (Complaint of Pain),Broadside,Pedestrian,"In Road, Including Shoulder",0,3,1.5
5151,37.7340138728,-122.390967889,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5152,37.7150645872,-122.382522057,Injury (Severe),Broadside,Other Motor Vehicle,No Pedestrian Involved,8,0,4.0
5153,37.7538365883,-122.418593945,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5154,37.7485265128,-122.42249729,Injury (Complaint of Pain),Overturned,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5155,37.7955672619,-122.425065511,Injury (Complaint of Pain),Rear End,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
5156,37.785685802,-122.421393308,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5157,37.7268082008,-122.471702638,Injury (Other Visible),Rear End,Motor Vehicle on Other Roadway,No Pedestrian Involved,5,0,2.5
5158,37.7885770681,-122.42871211,Injury (Other Visible),Not Stated,Non-Collision,No Pedestrian Involved,2,0,1.0
5159,37.761424566,-122.439413852,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5160,37.7931783015,-122.407727186,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5161,37.7620552198,-122.449202369,Injury (Other Visible),Broadside,Parked Motor Vehicle,No Pedestrian Involved,3,0,1.5
5162,37.7608896772,-122.436120494,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5163,37.7472051675,-122.403591772,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5164,37.780719177,-122.415315615,Injury (Other Visible),Head-On,Bicycle,No Pedestrian Involved,2,0,1.0
5165,37.7778795757,-122.415874673,Injury (Other Visible),Sideswipe,Not Stated,Crossing Not in Crosswalk,0,0,0.0
5166,,,Injury (Complaint of Pain),Overturned,Other Object,No Pedestrian Involved,1,0,0.5
5167,37.7900390965,-122.402189644,Injury (Severe),Rear End,Other Motor Vehicle,No Pedestrian Involved,8,0,4.0
5168,37.7838436608,-122.399002865,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
5169,37.734283492,-122.391443838,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
5170,37.8226296779,-122.376153168,Injury (Severe),Hit Object,Fixed Object,No Pedestrian Involved,4,0,2.0
5171,37.721626383,-122.438641761,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5172,37.7134225473,-122.434309754,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5173,37.7119145562,-122.41600028,Injury (Complaint of Pain),Other,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5174,37.7834276072,-122.466603486,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
5175,37.7521858098,-122.420672369,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
5176,37.7902727899,-122.407889236,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5177,37.7334624424,-122.380255061,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5178,37.7806558278,-122.472312256,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5179,37.7697978514,-122.448578815,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
5180,37.7958750042,-122.400485537,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
5181,37.7958750042,-122.400485537,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
5182,37.7972001684,-122.427080194,Injury (Severe),Broadside,Other Motor Vehicle,No Pedestrian Involved,8,0,4.0
5183,37.7846258534,-122.404447759,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
5184,37.7704359668,-122.51089137,Injury (Other Visible),Other,Non-Collision,No Pedestrian Involved,2,0,1.0
5185,37.7659246628,-122.46644249,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
5186,37.783515641,-122.415882538,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5187,37.7786320383,-122.43176322,Injury (Severe),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,8,0,4.0
5188,37.7315594844,-122.389981134,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5189,37.7894120612,-122.422135207,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5190,37.7583645487,-122.423488531,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
5191,37.7582998076,-122.396009459,Injury (Complaint of Pain),Head-On,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
5192,37.7425207346,-122.404306292,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5193,37.7859856165,-122.409639286,Injury (Complaint of Pain),Rear End,Not Stated,No Pedestrian Involved,0,0,0.0
5194,37.7785379288,-122.424998167,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5195,37.7823270239,-122.410538466,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5196,37.7652950986,-122.441931913,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5197,37.71578,-122.398798,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5198,37.7842687376,-122.409944302,Injury (Other Visible),Head-On,Motor Vehicle on Other Roadway,No Pedestrian Involved,5,0,2.5
5199,37.7813145865,-122.457733043,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5200,37.7731334934,-122.43742294,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
5201,37.7893780817,-122.407394715,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,8,4.5
5202,37.7876877262,-122.420658867,Injury (Complaint of Pain),Head-On,Pedestrian,"In Road, Including Shoulder",0,3,1.5
5203,37.7650732598,-122.419671084,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
5204,37.7309902157,-122.471752938,Injury (Other Visible),Rear End,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5205,37.7743884677,-122.427546416,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5206,37.7903696598,-122.422328955,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5207,37.7512863942,-122.500987489,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
5208,37.7486112419,-122.407044441,Injury (Severe),Sideswipe,Fixed Object,No Pedestrian Involved,4,0,2.0
5209,37.7657832988,-122.40753423,Injury (Complaint of Pain),Vehicle/Pedestrian,Not Stated,Crossing in Crosswalk at Intersection,0,0,0.0
5210,37.7981119518,-122.442467913,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5211,37.7740616467,-122.437610625,Injury (Other Visible),Sideswipe,Bicycle,No Pedestrian Involved,2,0,1.0
5212,37.7457759164,-122.420819109,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
5213,37.7905712252,-122.39858951,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5214,37.7862026649,-122.409683073,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5215,37.7319098791,-122.493718804,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5216,37.7551697941,-122.423181001,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
5217,37.7521281143,-122.417340383,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
5218,37.7804785115,-122.412512255,Injury (Other Visible),Sideswipe,Bicycle,No Pedestrian Involved,2,0,1.0
5219,37.7768682299,-122.472039542,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
5220,37.7714283955,-122.453979522,Injury (Other Visible),Other,Not Stated,No Pedestrian Involved,0,0,0.0
5221,37.7483528478,-122.408706314,Injury (Complaint of Pain),Head-On,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5222,37.7735273385,-122.392647314,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
5223,37.7309993189,-122.475927676,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
5224,37.7950160221,-122.436760975,Injury (Other Visible),Rear End,Parked Motor Vehicle,No Pedestrian Involved,3,0,1.5
5225,37.7830040784,-122.412411747,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
5226,37.795737109,-122.423413055,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5227,37.7621376255,-122.436241805,Injury (Other Visible),Hit Object,Fixed Object,No Pedestrian Involved,3,0,1.5
5228,37.7451009981,-122.39218234,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,8,4.5
5229,37.7422676002,-122.405722338,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5230,37.8294859226,-122.372229674,Injury (Complaint of Pain),Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
5231,37.7491803851,-122.42037996,Injury (Complaint of Pain),Rear End,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
5232,37.7431226645,-122.42148545,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
5233,37.7819607664,-122.42063825,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5234,37.7465995976,-122.419235024,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
5235,37.7986968607,-122.407869497,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,8,4.5
5236,37.7633295097,-122.466261199,Injury (Other Visible),Head-On,Bicycle,No Pedestrian Involved,2,0,1.0
5237,37.7964927617,-122.41007597,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5238,37.7425860401,-122.421832526,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5239,37.7464381593,-122.447786105,Injury (Complaint of Pain),Hit Object,Fixed Object,No Pedestrian Involved,1,0,0.5
5240,37.7665395766,-122.422043813,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
5241,37.7960882007,-122.395103452,Injury (Severe),Broadside,Other Motor Vehicle,No Pedestrian Involved,8,0,4.0
5242,37.7782510171,-122.419883231,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5243,37.7981345825,-122.427268975,Injury (Other Visible),Head-On,Bicycle,No Pedestrian Involved,2,0,1.0
5244,37.7658679861,-122.431025471,Injury (Complaint of Pain),Broadside,Not Stated,No Pedestrian Involved,0,0,0.0
5245,37.780467326,-122.40807523,Injury (Complaint of Pain),Sideswipe,Motor Vehicle on Other Roadway,No Pedestrian Involved,2,0,1.0
5246,37.7627569383,-122.430657735,Injury (Other Visible),Other,Not Stated,No Pedestrian Involved,0,0,0.0
5247,37.7698065541,-122.423383772,Injury (Complaint of Pain),Other,Bicycle,No Pedestrian Involved,1,0,0.5
5248,37.7292784539,-122.392624535,Injury (Other Visible),Broadside,Motor Vehicle on Other Roadway,No Pedestrian Involved,5,0,2.5
5249,37.7888944292,-122.403660677,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
5250,37.77281216,-122.412824226,Injury (Other Visible),Rear End,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5251,37.7807687395,-122.469627031,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5252,37.7649173775,-122.421886446,Injury (Other Visible),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5253,37.7278046618,-122.381690923,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5254,37.7845682408,-122.431204945,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5255,37.7875481397,-122.421758104,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5256,37.7822732063,-122.447602149,Injury (Other Visible),Other,Non-Collision,No Pedestrian Involved,2,0,1.0
5257,37.780719177,-122.415315615,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
5258,37.781130476,-122.46111667,Injury (Complaint of Pain),Hit Object,Fixed Object,No Pedestrian Involved,1,0,0.5
5259,37.7839377898,-122.410910656,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5260,37.7496786194,-122.407528571,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
5261,37.7905782589,-122.420687383,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
5262,37.7886866616,-122.392722833,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5263,37.7422222133,-122.494505554,Injury (Other Visible),Rear End,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5264,37.8042974479,-122.402435779,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5265,37.7697346973,-122.424581089,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5266,37.7840066133,-122.404864794,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5267,37.7763360726,-122.419524095,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5268,37.7717764872,-122.46204713,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",1,6,3.5
5269,37.7653446885,-122.431539321,Injury (Other Visible),Rear End,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5270,37.712016314,-122.400789194,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5271,37.7714283955,-122.453979522,Injury (Other Visible),Sideswipe,Bicycle,No Pedestrian Involved,2,0,1.0
5272,37.7887211529,-122.402065729,Injury (Complaint of Pain),Hit Object,Fixed Object,No Pedestrian Involved,1,0,0.5
5273,37.7810308422,-122.420439518,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5274,37.7708961085,-122.414996654,Injury (Other Visible),Head-On,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5275,37.7268240495,-122.472056885,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5276,37.788293194,-122.40840155,Injury (Complaint of Pain),Not Stated,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
5277,37.779417867,-122.413783542,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk Not at Intersection,1,6,3.5
5278,37.7228248478,-122.41691725,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5279,37.7653509931,-122.47939843,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
5280,37.7155726992,-122.441691159,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,8,4.5
5281,37.7146606185,-122.442564963,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5282,37.8129037426,-122.371129031,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5283,37.80987871,-122.363424146,Injury (Other Visible),Overturned,Non-Collision,No Pedestrian Involved,2,0,1.0
5284,37.7496846231,-122.397285416,Fatal,Not Stated,Pedestrian,"In Road, Including Shoulder",2,10,6.0
5285,37.7811109958,-122.462139278,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
5286,37.7827226398,-122.43427747,Injury (Other Visible),Sideswipe,Bicycle,No Pedestrian Involved,2,0,1.0
5287,37.7525568541,-122.387660183,Injury (Complaint of Pain),Head-On,Not Stated,No Pedestrian Involved,0,0,0.0
5288,37.7718856441224,-122.423396762232,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
5289,37.7809711831,-122.408708674,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5290,37.7797389058,-122.407159488,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
5291,37.7631188792,-122.423936387,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5292,37.7487863321,-122.422567459,Injury (Severe),Broadside,Pedestrian,Crossing in Crosswalk at Intersection,1,8,4.5
5293,37.7838558611,-122.408156408,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
5294,37.717178949,-122.386265014,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5295,37.797327199,-122.408557722,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
5296,37.7779770869,-122.409387006,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
5297,37.8027432021,-122.41371875,Injury (Other Visible),Other,Non-Collision,No Pedestrian Involved,2,0,1.0
5298,37.8003154992,-122.410206544,Injury (Complaint of Pain),Head-On,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5299,37.7863039628,-122.431552025,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
5300,37.7722952901,-122.444024307,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5301,37.7985333284,-122.439156219,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
5302,37.7798285237,-122.402840618,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5303,37.7604053444,-122.46391189,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5304,37.7857439884,-122.405831011,Injury (Other Visible),Overturned,Other Object,No Pedestrian Involved,3,0,1.5
5305,37.8078311445,-122.418867388,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Not in Road,0,3,1.5
5306,37.7828941215,-122.420817003,Injury (Severe),Broadside,Pedestrian,"In Road, Including Shoulder",1,8,4.5
5307,37.7123196406,-122.456045432,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5308,37.7171738689,-122.472572455,Injury (Other Visible),Not Stated,Other Object,No Pedestrian Involved,3,0,1.5
5309,37.7723166558,-122.489732863,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
5310,37.7840291163,-122.419364168,Injury (Complaint of Pain),Other,Pedestrian,Crossing in Crosswalk Not at Intersection,0,3,1.5
5311,37.7769760231,-122.429686882,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5312,37.7347973597,-122.390693773,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5313,37.7536076664,-122.490832508,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Not in Road,1,6,3.5
5314,37.7889838539,-122.425508402,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5315,37.7833108899,-122.417528773,Injury (Other Visible),Rear End,Bicycle,No Pedestrian Involved,2,0,1.0
5316,37.7280990824,-122.390547462,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5317,37.7275276184,-122.370624435,Injury (Complaint of Pain),Head-On,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
5318,37.7307650514,-122.458050115,Injury (Complaint of Pain),Head-On,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5319,37.7342220713,-122.411594375,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5320,37.787324904,-122.438581571,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5321,37.7171738689,-122.472572455,Injury (Complaint of Pain),Sideswipe,Motor Vehicle on Other Roadway,No Pedestrian Involved,2,0,1.0
5322,37.7725264438,-122.410076847,Injury (Severe),Broadside,Other Motor Vehicle,No Pedestrian Involved,8,0,4.0
5323,37.7725264438,-122.410076847,Injury (Severe),Broadside,Other Motor Vehicle,No Pedestrian Involved,8,0,4.0
5324,37.7768462346,-122.404610031,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5325,37.7888353004,-122.408514047,Injury (Complaint of Pain),Head-On,Other Object,No Pedestrian Involved,1,0,0.5
5326,37.7469453728,-122.444847226,Injury (Other Visible),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
5327,37.7804962607,-122.43214039,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
5328,37.7537030936,-122.420812136,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
5329,37.7609507537,-122.407027895,Injury (Complaint of Pain),Head-On,Pedestrian,Not in Road,0,3,1.5
5330,37.7695727948,-122.426471279,Injury (Complaint of Pain),Head-On,Bicycle,No Pedestrian Involved,1,0,0.5
